date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2012-02-07,0.587880886339682,0.04815590377468252,0.07009050789233312,0.05529815429623496,0.07530348760918616,0.07906088111405747,0.08421017897382369
2012-02-08,0.5898294140470527,0.04774023596806698,0.0694254448011301,0.05486693666830981,0.07462694744854494,0.07867519085508488,0.08483583021181067
2012-02-09,0.5856953837666516,0.048189614721442585,0.0702372556729,0.05566693442465598,0.07561507577262162,0.08004574105648483,0.08454999458524333
2012-02-10,0.5846907675724934,0.0478910363403706,0.07032170121814606,0.0557922287804898,0.07568520577893595,0.08038442375698042,0.08523463655258391
2012-02-13,0.5867103364499949,0.04746703398491859,0.06999780420464054,0.05554112589861412,0.07550286167112172,0.07991031029890927,0.0848705274918008
2012-02-14,0.5838038586379879,0.04802582374596559,0.06999087089375312,0.05576308855160461,0.07658671306097152,0.08106103139257918,0.08476861371713826
2012-02-15,0.5793248944282454,0.04849519822023038,0.07166715600476432,0.05556689532703536,0.07865465849650628,0.08187053588071452,0.08442066164250368
2012-02-16,0.5801938154369758,0.0484885355426133,0.07180596208103963,0.055182960338967066,0.07860836488780702,0.08156080703319413,0.08415955467940305
2012-02-17,0.5723780276061098,0.049701907423727515,0.07379214474401302,0.05610964296071368,0.08043076247273215,0.08370528943352983,0.08388222535917388
2012-02-21,0.570567664358484,0.04997055297100793,0.07285028252014315,0.05655113322329681,0.08097275166512052,0.08449362523098693,0.08459399003096066
2012-02-22,0.5595980568614605,0.051761751866447527,0.07255969388082135,0.058768267153902085,0.08455955728106146,0.08846388114433586,0.08428879181197126
2012-02-23,0.5599553600691726,0.05142745527160522,0.07241981880715057,0.05864839366716587,0.08462558321760076,0.08798312521473853,0.08494026375256646
2012-02-24,0.5483060123506255,0.05332209636618494,0.07220943788796237,0.06187719472611826,0.08999696569123561,0.09144953328202322,0.08283875969585024
2012-02-27,0.5416127406892383,0.05389066667236759,0.07317609665526133,0.0627552032149423,0.09191496859790935,0.09273841633043849,0.08391190783984277
2012-02-28,0.5228391706501825,0.0573884202897366,0.07006962245033282,0.06886464245427222,0.09710358356191222,0.10315423042061589,0.0805803301729477
2012-02-29,0.5270768316317105,0.05823752185082613,0.061582956812657186,0.06904279250145634,0.09819756129325166,0.10422885426705873,0.08163348164303952
2012-03-01,0.5269403131607604,0.058200250181458565,0.06105291116637829,0.06905259166310332,0.09818007311445939,0.10421008338671105,0.08236377732712893
2012-03-02,0.5235831668249784,0.058806955877703126,0.06181196951005664,0.06913601026009464,0.09922344955788165,0.10537978906054983,0.0820586589087357
2012-03-05,0.5233742506398417,0.0587760678976594,0.062121448881472696,0.0694495835608963,0.0982155488244018,0.10545073948188516,0.08261236071384279
2012-03-06,0.5284717035556656,0.056768261922428634,0.06215522727166861,0.0686046525262185,0.09788246381901944,0.10341824132272466,0.08269944958227438
2012-03-07,0.5178775562798374,0.05862001043853008,0.062031160244609286,0.07122815409750696,0.09972584114632925,0.10852877183140378,0.0819885059617832
2012-03-08,0.5090373571343002,0.05855350871065207,0.061764416924856604,0.07430605338031636,0.10111305848567716,0.11108866460373164,0.084136940760466
2012-03-09,0.5018346817990587,0.06180829212085923,0.06283459571078208,0.07383908720729426,0.10194423760658967,0.11391570518629968,0.08382340036911659
2012-03-12,0.4994590513334946,0.06087418008968846,0.06332321709145426,0.0754124817774104,0.10293154468459226,0.11463945355075138,0.08336007147260859
2012-03-13,0.4930579406827672,0.060548326409504936,0.06714582726296787,0.0755704295113292,0.10506877949270439,0.11396935194674464,0.0846393446939816
2012-03-14,0.4783070142964994,0.06210809018822867,0.06882101768955258,0.07830637685858642,0.10994367883900182,0.11847796281751118,0.08403585931061981
2012-03-15,0.48475560886792207,0.061108407056014065,0.06867508269063188,0.0770314373229537,0.10824694695384743,0.11641134603763413,0.08377117107099691
2012-03-16,0.47998870131732063,0.06259791608898778,0.06783671206821061,0.0781392119682886,0.10923166025184634,0.11820390968270467,0.0840018886226413
2012-03-19,0.4521403473727456,0.06488041995305802,0.06591423789107087,0.08410871924962811,0.1170444519130453,0.13187629003335766,0.08403553358709434
2012-03-20,0.45270325720795274,0.06297562018362882,0.06498233499012013,0.08245563653632419,0.12268434857557886,0.12991347221838567,0.08428533028800933
2012-03-21,0.450048018358218,0.0635418121228189,0.06537060649318067,0.08279319193352776,0.12346379963108724,0.13121868816814772,0.08356388329301977
2012-03-22,0.45139709350846735,0.06268714471137096,0.06538740696119946,0.08198364256282734,0.12370979235888557,0.1304794416462166,0.08435547825103276
2012-03-23,0.4506949675724142,0.06322300500722512,0.06545133215189883,0.08182059015448909,0.12382686455215706,0.13089530422372225,0.08408793633809358
