date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-07-08,0.37266821333812145,0.08873728229134897,0.11012131405589207,0.09099706808756648,0.10125809114945303,0.1142541077553881,0.12196392332222993
2011-07-11,0.3755944155374501,0.08777381811365269,0.11104599708559242,0.09050252588363839,0.1009217268016244,0.11263163748061768,0.12152987909742435
2011-07-12,0.3763627618566149,0.08745688324092282,0.11177228518903112,0.09032975642609968,0.10046622415573318,0.11228917002131675,0.12132291911028162
2011-07-13,0.3790097424327538,0.08624766511902125,0.11101947681607832,0.0899240059432959,0.0998118673278468,0.11159356768445321,0.12239367467655063
2011-07-14,0.3763737352071225,0.08803018523819833,0.11188023527190946,0.09046706728214138,0.09992671403636956,0.11295563169715744,0.12036643126710132
2011-07-15,0.3771164745405613,0.08845197176686553,0.11171060955116248,0.09027080824928516,0.09918706318021053,0.11285862587794038,0.12040444683397467
2011-07-18,0.3750454050184536,0.08955640412520659,0.11086253962305138,0.09048986714431316,0.10125242059123948,0.11350475201076421,0.11928861148697154
2011-07-19,0.37930380484902,0.09013563156900184,0.11086446482205703,0.09008530063213588,0.10011981709446105,0.11283941736052923,0.11665156367279488
2011-07-20,0.37855022276917294,0.09061039146411975,0.11087728873411747,0.09044130139438761,0.10047542869361364,0.11335520326714367,0.11569016367744492
2011-07-21,0.3824013132002905,0.08977497326147817,0.11008414569395239,0.0902260865292526,0.10010306463472907,0.1119867342461577,0.1154236824341395
2011-07-22,0.38021981088099893,0.08965637241200858,0.1121780302869049,0.09021007174162243,0.09966314844432023,0.11216034131153295,0.11591222492261205
2011-07-25,0.37835572557613895,0.09026468230741266,0.11248673232341899,0.09033121753897126,0.10017703921956576,0.1126261677738262,0.11575843526066615
2011-07-26,0.37596364231016133,0.09041623270505228,0.11486309793342724,0.09030311308616013,0.10023836930399019,0.11267256622668363,0.11554297843452527
2011-07-27,0.377922677224529,0.09032301000374529,0.1175223646818959,0.08898360233334812,0.09805025417529221,0.11053845308422057,0.11665963849696884
2011-07-28,0.3758214882055625,0.0917178480041641,0.11768169903100073,0.08934390776235138,0.09810898671490723,0.11054114781690158,0.11678492246511255
2011-07-29,0.36519036884720235,0.09394990514529157,0.12198635424941366,0.09114922173625266,0.09967348934345038,0.11244133361712363,0.11560932706126571
2011-08-01,0.3596559761993351,0.09332730988290179,0.13218152406941003,0.09021498153230781,0.09869447626759591,0.11167303645583879,0.11425269559261064
2011-08-02,0.3650042051115692,0.0933759335238658,0.1306847737377611,0.09016226156528512,0.09881479399242463,0.11064915481694924,0.1113088772521447
2011-08-03,0.3641332942049627,0.09320686753843045,0.13264237777891646,0.09027761085699683,0.09829694304876721,0.11031535998366965,0.11112754658825687
2011-08-04,0.37609313485317825,0.08927867511067483,0.13867716530829105,0.08685432695166728,0.09548082239492198,0.10422513437767653,0.10939074100359014
2011-08-05,0.36333132475101015,0.09212913561228134,0.1438400384749856,0.0887746936152425,0.09769239814161423,0.10707969765406686,0.10715271175079946
